date,season,neutral,playoff,team1,team2,elo1_pre,elo2_pre,elo_prob1,elo_prob2,elo1_post,elo2_post,carm-elo1_pre,carm-elo2_pre,carm-elo_prob1,carm-elo_prob2,carm-elo1_post,carm-elo2_post,raptor1_pre,raptor2_pre,raptor_prob1,raptor_prob2,score1,score2,quality,importance,total_rating
2012-11-03,2013,0,,IND,SAC,1558.3599,1407.2527,0.809303252521007,0.190696747478993,1561.2434,1404.3691,,,,,,,,,,,106,98,37,"",""
2012-11-03,2013,0,,WAS,BOS,1440.3092,1566.8929,0.46181746327395123,0.5381825367260488,1435.2531,1571.9491,,,,,,,,,,,86,89,46,"",""
2012-11-03,2013,0,,DAL,CHO,1523.317,1247.7948,0.8967551538725443,0.10324484612745566,1526.5341,1244.5778,,,,,,,,,,,126,99,4,"",""
2012-11-04,2013,0,,OKC,ATL,1659.4091,1532.7664,0.7866182517377747,0.21338174826222533,1640.704,1551.4714,,,,,,,,,,,95,104,85,"",""
2012-11-04,2013,0,,LAL,DET,1518.7981,1417.8512,0.760740459410734,0.23925954058926602,1527.5927,1409.0566,,,,,,,,,,,108,79,31,"",""
2012-11-04,2013,0,,ORL,PHO,1489.8534,1523.5597,0.5942630958625651,0.4057369041374349,1502.9133,1510.4998,,,,,,,,,,,115,94,49,"",""
2012-11-04,2013,0,,TOR,MIN,1425.674,1419.6448,0.6480213535044481,0.3519786464955519,1435.932,1409.3867,,,,,,,,,,,105,86,15,"",""
2012-11-04,2013,0,,NYK,PHI,1548.2699,1545.1703,0.6441652844416534,0.35583471555834656,1557.5126,1535.9276,,,,,,,,,,,100,84,68,"",""
2012-11-05,2013,0,,MIA,PHO,1650.0934,1510.4998,0.7988643546215208,0.20113564537847917,1656.5652,1504.028,,,,,,,,,,,124,99,79,"",""
2012-11-05,2013,0,,MEM,UTA,1580.8008,1534.7893,0.6985725661219356,0.30142743387806437,1586.0551,1529.535,,,,,,,,,,,103,94,72,"",""
2012-11-05,2013,0,,SAS,IND,1686.3522,1561.2434,0.7851324128981645,0.2148675871018355,1692.7286,1554.8669,,,,,,,,,,,101,79,92,"",""
2012-11-05,2013,0,,PHI,NYK,1535.9276,1557.5126,0.6109703870723108,0.38902961292768923,1513.0991,1580.3411,,,,,,,,,,,88,110,68,"",""
2012-11-05,2013,0,,DAL,POR,1526.5341,1474.8397,0.7054159277338565,0.29458407226614347,1536.0272,1465.3466,,,,,,,,,,,114,91,46,"",""
2012-11-05,2013,0,,SAC,GSW,1404.3691,1434.3062,0.5994837366907753,0.40051626330922474,1408.0342,1430.6411,,,,,,,,,,,94,92,14,"",""
2012-11-05,2013,0,,LAC,CLE,1567.8295,1344.1774,0.8656568519246332,0.13434314807536685,1548.1755,1363.8313,,,,,,,,,,,101,108,23,"",""
2012-11-05,2013,0,,BRK,MIN,1378.6919,1409.3867,0.598436033310413,0.40156396668958705,1364.7391,1423.3395,,,,,,,,,,,96,107,8,"",""
2012-11-06,2013,0,,CHI,ORL,1593.3835,1502.9133,0.7495914626106157,0.2504085373893843,1596.7441,1499.5527,,,,,,,,,,,99,93,68,"",""
2012-11-06,2013,0,,OKC,TOR,1640.704,1435.932,0.8525080004586842,0.14749199954131575,1644.5887,1432.0472,,,,,,,,,,,108,88,61,"",""
2012-11-06,2013,0,,DEN,DET,1554.4674,1409.0566,0.804191159909402,0.19580884009059796,1558.2765,1405.2476,,,,,,,,,,,109,97,36,"",""
2012-11-07,2013,0,,BOS,WAS,1571.9491,1435.2531,0.7961708576892237,0.2038291423107763,1574.5995,1432.6027,,,,,,,,,,,100,94,46,"",""
2012-11-07,2013,0,,MIA,BRK,1656.5652,1364.7391,0.9051266764371235,0.09487332356287648,1659.7239,1361.5804,,,,,,,,,,,103,73,44,"",""
2012-11-07,2013,0,,SAC,DET,1408.0342,1405.2476,0.6437521814183856,0.35624781858161436,1411.2153,1402.0664,,,,,,,,,,,105,103,10,"",""
2012-11-07,2013,0,,HOU,DEN,1507.6,1558.2765,0.5705091792086797,0.4294908207913203,1498.4143,1567.4622,,,,,,,,,,,87,93,61,"",""
2012-11-07,2013,0,,CHO,PHO,1244.5778,1504.028,0.2853922718153535,0.7146077281846466,1240.3191,1508.2866,,,,,,,,,,,110,117,3,"",""
2012-11-07,2013,0,,UTA,LAL,1529.535,1527.5927,0.6426367931057161,0.3573632068942839,1535.9674,1521.1603,,,,,,,,,,,95,86,59,"",""
2012-11-07,2013,0,,DAL,TOR,1536.0272,1432.0472,0.7639039356720695,0.2360960643279305,1538.884,1429.1904,,,,,,,,,,,109,104,38,"",""
2012-11-07,2013,0,,ATL,IND,1551.4714,1554.8669,0.6355497234679007,0.36445027653209927,1555.2542,1551.0842,,,,,,,,,,,89,86,70,"",""
2012-11-07,2013,0,,GSW,CLE,1430.6411,1363.8313,0.7231687328770513,0.2768312671229487,1435.7103,1358.7621,,,,,,,,,,,106,96,8,"",""
2012-11-07,2013,0,,MIN,ORL,1423.3395,1499.5527,0.5341785717859023,0.46582142821409767,1435.6484,1487.2438,,,,,,,,,,,90,75,28,"",""
2012-11-07,2013,0,,LAC,SAS,1548.1755,1692.7286,0.43623208550292614,0.5637679144970739,1568.6486,1672.2556,,,,,,,,,,,106,84,91,"",""
2012-11-07,2013,0,,NOP,PHI,1471.2083,1513.0991,0.5828547290330377,0.4171452709669623,1454.7487,1529.5587,,,,,,,,,,,62,77,42,"",""
2012-11-07,2013,0,,MIL,MEM,1521.9506,1586.0551,0.5514747582321058,0.4485252417678942,1504.6554,1603.3502,,,,,,,,,,,90,108,70,"",""
2012-11-08,2013,0,,POR,LAC,1465.3466,1568.6486,0.49524818308195967,0.5047518169180403,1453.2422,1580.7529,,,,,,,,,,,90,103,53,"",""
2012-11-08,2013,0,,CHI,OKC,1596.7441,1644.5887,0.5744988919388472,0.4255011080611528,1587.4724,1653.8605,,,,,,,,,,,91,97,92,"",""
2012-11-09,2013,0,,DEN,UTA,1567.4622,1535.9674,0.6806900747402352,0.31930992525976476,1576.9272,1526.5023,,,,,,,,,,,104,84,70,"",""
2012-11-09,2013,0,,LAL,GSW,1521.1603,1435.7103,0.7441280514333689,0.2558719485666311,1529.4589,1427.4117,,,,,,,,,,,101,77,36,"",""
2012-11-09,2013,0,,MIN,IND,1435.6484,1551.0842,0.47780070209503434,0.5221992979049657,1440.7579,1545.9747,,,,,,,,,,,96,94,42,"",""
